heading,date_of_post,snippet,news_source
MacBook Air - Apple (IN),11/12/2020,"Testing conducted by Apple in October 2020 using pre-production MacBook Air systems with Apple M1 chip and 8-core GPU, as well as production 1.2GHz quad-core Intel Core i7–based MacBook Air systems with Intel Iris Plus Graphics, all configured with 16GB RAM and 2TB SSD. Tested with Shadow of the Tomb Raider 1.0.1 using the built-in benchmark, at 1440x900 resolution, with medium settings.",www.apple.com/in/macbook-air
Apple MacBook Air 2020 Price (08 Dec 2020) Specification ...,11/12/2020,Apple MacBook Air 2020 is a macOS laptop with a 13.30-inch display that has a resolution of 2560x1600 pixels. It is powered by a Core i3 processor and it comes with 8GB of RAM. The Apple MacBook...,gadgets.ndtv.com/apple-macbook-air-2020-price-in...
MacBook Air - Apple,11/12/2020,"Testing conducted by Apple in October 2020 using preproduction MacBook Air systems with Apple M1 chip and 8-core GPU, as well as production 1.2GHz quad-core Intel Core i7-based MacBook Air systems with Intel Iris Plus Graphics, all configured with 16GB RAM and 2TB SSD. Tested with prerelease Shapr3D 3.45.0 using a 288.2MB model.",www.apple.com/macbook-air
"MacBook Air (M1, 2020) Review | NDTV Gadgets 360",10/12/2020,"MacBook Air (M1, 2020) pricing and variants. Apple has removed the Intel-based MacBook Air models from it's India website, and the M1-powered MacBook Air starts at the same price of Rs. 92,900.",gadgets.ndtv.com/laptops/reviews/macbook-air-m1...
"Apple MacBook Air (M1, 2020) review: the best laptop for most ...",11/12/2020,"The MacBook Air (M1 2020) was released on November 17th 2020, and starts from £999/$999/AU$1,599 for its base model, which gets you an eight-core Apple M1 processor, a seven-core Apple GPU, 8GB ...",www.msn.com/en-gb/money/technology/apple-macbook...
"MacBook Air (M1, 2020) review | Creative Bloq",26/11/2020 ,"Apple’s new MacBook Air (M1, 2020) is an absolutely fantastic laptop, and thanks to some brilliant new additions in the form of Apple’s own M1 chip (which replaces the Intel processors the company used to use), and an improved screen, the MacBook Air no longer feels like a compromise for creatives who don’t want to (or can’t) pay the higher asking price for the MacBook Pro.",www.creativebloq.com/reviews/macbook-air-m1
"Apple MacBook Air (M1, 2020) review | TechRadar",19/11/2020 ,"The MacBook Air (M1, 2020)’s dimensions of 0.16–0.63 x 11.97 x 8.36 inches (0.41–1.61 x 30.41 x 21.24cm) and weight of 2.8 pounds (1.29kg) are exactly the same as those of both the MacBook Air...",www.techradar.com/reviews/apple-macbook-air-m12020
The biggest difference between the new MacBook Air and ...,10/11/2020 ,"By Sean Hollister @StarFire2258 Nov 10, 2020, 5:58pm EST It’s been a little bit weird that Apple would sell both a 13-inch MacBook Air and a 13-inch MacBook Pro simultaneously, but perhaps never...",www.theverge.com/2020/11/10/21559228/apple-new...
MacBook Air (2020) review | TechRadar,16/11/2020 ,"In a pleasant surprise, the MacBook Air (2020) has launched at a new lower price for its entry level model. The new entry-level MacBook Air comes with a dual-core 10th-generation Intel Core i3...",www.techradar.com/reviews/macbook-air-2020
"Apple MacBook Air (M1, 2020) Price (10 Dec 2020 ...",11/12/2020,"Apple MacBook Air (M1, 2020) is a macOS laptop with a 13.30-inch display that has a resolution of 2560x1600 pixels. it comes with 8GB of RAM. The Apple MacBook Air (M1, 2020) packs 512GB of SSD ...",gadgets.ndtv.com/apple-macbook-air-m1-2020-price...
"Apple MacBook Air (M1, Late 2020) - Review 2020 - PCMag India",17/11/2020 ,"All are impressive, but the improvement to the MacBook Air impresses most. At $999 (as tested), it's the best value among Mac laptops, especially when combined with its nearly 30-hour battery life...",in.pcmag.com/.../apple-macbook-air-m1-late-2020
"MacBook Air (M1, 2020) review | Creative Bloq",26/11/2020 ,"Apple’s new MacBook Air (M1, 2020) is an absolutely fantastic laptop, and thanks to some brilliant new additions in the form of Apple’s own M1 chip (which replaces the Intel processors the company used to use), and an improved screen, the MacBook Air no longer feels like a compromise for creatives who don’t want to (or can’t) pay the higher asking price for the MacBook Pro.",www.creativebloq.com/reviews/macbook-air-m1
MacBook Air (Late 2020) Benchmarks - Geekbench Browser,11/12/2020,MacBook Air (Late 2020) Benchmarks Benchmark results for the MacBook Air (Late 2020) with an Apple M1 processor can be found below. The data on this chart is gathered from user-submitted Geekbench 5 results from the Geekbench Browser. Geekbench 5 scores are calibrated against a baseline score of 1000 (which is the score of an Intel Core i3-8100).,browser.geekbench.com/macs/macbook-air-late-2020
Apple MacBook Air 2020 M1 Benchmarks: Should you get 7 or 8 ...,26/11/2020 ,"The new MacBook Air 2020 is equipped with Apple's own M1 processor by default, but there are two GPU versions with 7 or 8 cores. We have both units in our editorial office and had the chance to...",www.notebookcheck.net/Apple-MacBook-Air-2020-M1...
"Apple MacBook Air (M1, 2020) review: the best laptop for most ...",11/12/2020,"The MacBook Air (M1 2020) was released on November 17th 2020, and starts from £999/$999/AU$1,599 for its base model, which gets you an eight-core Apple M1 processor, a seven-core Apple GPU, 8GB ...",www.msn.com/en-gb/money/technology/apple-macbook...
MacBook Air with M1 review: A near-perfect laptop | Laptop Mag,17/11/2020 ,MacBook Air with M1 review: A near-perfect laptop The MacBook Air with Apple Silicon ushers in a new era for Apple By Phillip Tracy 17 November 2020,www.laptopmag.com/reviews/macbook-air-m1-2020
"Apple analyst says new MacBook Pros, 'more affordable ...",02/12/2020 ,"Apple building MacBook Pros with new design and 'more affordable' MacBook Air: Top Apple analyst Published Wed, Dec 2 2020 9:06 AM EST Updated Wed, Dec 2 2020 1:01 PM EST Todd Haselton @robotodd",www.cnbc.com/2020/12/02/new-macbook-pros-more...
Apple MacBook Air (2020) Review | PCMag,20/03/2020 ,"Still, it's almost nothing: The 2020 MacBook Air is 0.63 by 11.97 by 8.46 inches (HWD) and 2.8 pounds, versus 0.61 by 12 by 8.4 inches and 2.75 pounds for the previous model. It's only worth...",www.pcmag.com/reviews/apple-macbook-air-2020
"Buy Apple MacBook Air (13-inch, 8GB RAM, 128GB Storage, 1 ...",11/12/2020,"Amazon.in: Buy Apple MacBook Air (13-inch, 8GB RAM, 128GB Storage, 1.8GHz Intel Core i5) - Silver online at low price in India on Amazon.in. Check out Apple MacBook Air (13-inch, 8GB RAM, 128GB Storage, 1.8GHz Intel Core i5) - Silver reviews, ratings, features, specifications and more at Amazon.in",www.amazon.in/Apple-MacBook-Air-13-3-inch-MQD32...
"Apple MacBook Air (M1, 2020) Price (10 Dec 2020 ...",11/12/2020,"Apple MacBook Air (M1, 2020) is a macOS laptop with a 13.30-inch display that has a resolution of 2560x1600 pixels. it comes with 8GB of RAM. The Apple MacBook Air (M1, 2020) packs 512GB of SSD ...",gadgets.ndtv.com/apple-macbook-air-m1-2020-price...
Apple MacBook Air 2020 M1 Benchmarks: Should you get 7 or 8 ...,26/11/2020 ,"The new MacBook Air 2020 is equipped with Apple's own M1 processor by default, but there are two GPU versions with 7 or 8 cores. We have both units in our editorial office and had the chance to...",www.notebookcheck.net/Apple-MacBook-Air-2020-M1...
"Apple analyst says new MacBook Pros, 'more affordable ...",02/12/2020 ,"Apple building MacBook Pros with new design and 'more affordable' MacBook Air: Top Apple analyst Published Wed, Dec 2 2020 9:06 AM EST Updated Wed, Dec 2 2020 1:01 PM EST Todd Haselton @robotodd",www.cnbc.com/2020/12/02/new-macbook-pros-more...
"MacBook Air (M1, 2020) Review: A Mac Revolution | WIRED",17/11/2020 ,"Review: MacBook Air (M1, 2020) Ditching Intel has removed the shackles from the laptop, unleashing a force to be reckoned with.",www.wired.com/review/macbook-air-m1-2020
